Set Number;Average Direction;Average Speed
341;4095;333
342;4095;351
343;4095;340
344;4095;325
345;4095;336
346;4095;326
347;2947;375
348;2872;382
349;2879;371
350;2942;394
351;2842;429
352;2972;417
353;2993;413
354;2923;405
355;3135;375
356;3179;371
357;3254;369
358;3305;317
359;3307;332
360;3318;330
361;3370;338
362;99;345
363;198;356
364;324;385
365;0;351
366;190;401
367;51;361
368;72;324
369;3358;317
370;507;376
371;16;391
372;642;327
373;1812;355
374;718;345
375;552;357
376;864;330
377;2289;377
378;881;351
379;803;349
380;4095;321
381;4094;342
382;244;324
383;3609;338
384;3035;352
385;2608;356
386;2671;369
387;2602;434
388;2618;411
389;2702;418
390;2893;418
391;2824;424
392;2796;405
393;2825;448
394;2850;481
395;2803;471
396;2809;462
397;2815;496
398;2879;500
399;2864;543
400;2817;521
401;2913;498
402;2891;514
403;2763;468
404;2844;454
405;2738;453
406;2699;430
407;2761;465
408;2743;452
409;2972;472
410;2966;443
411;2824;460
412;2955;463
413;2986;451
414;2850;457
415;2905;479
416;2933;484
417;2857;472
418;2800;480
419;2892;539
420;2909;523
421;2913;547
422;2575;531
423;2697;542
424;2707;486
425;2709;549
426;2549;565
427;2711;545
428;2665;521
429;2661;526
430;2387;557
431;2680;489
432;2354;489
433;2468;520
434;2482;456
435;2589;438
436;2524;536
437;2468;507
438;2408;482
439;2639;477
440;2584;494
441;2637;488
442;2766;481
443;2467;514
444;2672;460
445;2610;512
446;2687;453
447;2760;472
448;2689;500
449;2760;499
450;2806;466
451;2840;479
452;2841;489
453;2948;533
454;2894;511
455;2793;484
456;2992;426
457;2746;416
458;2795;471
459;2847;476
460;2876;434
461;2889;447
462;2860;429
463;2882;467
464;2906;426
465;2822;450
466;2912;477
467;2821;482
468;2844;459
469;2815;454
470;2881;444
471;2860;439
472;2905;448
473;2872;451
474;2898;425
475;2791;459
476;2755;462
477;2810;482
478;2711;436
479;2720;447
480;2770;492
481;2729;470
482;2611;476
483;2679;494
484;2876;535
485;2717;497
486;2708;542
487;2682;535
488;2543;501
489;2711;522
490;2794;521
491;2571;507
492;2365;483
493;2416;592
494;2688;555
495;2490;523
496;2572;514
497;2459;469
498;2605;462
499;2543;512
500;2629;458
501;2637;486
502;2499;481
503;2204;384
